iso3,country,region,mode_id,values,bin,cat,yrs
AFG,Afghanistan,Asia,A01a,1,FALSE,TRUE,FALSE
AFG,Afghanistan,Asia,A01b,2,FALSE,TRUE,FALSE
AFG,Afghanistan,Asia,A03b,1,FALSE,TRUE,FALSE
AFG,Afghanistan,Asia,A05,2,FALSE,TRUE,FALSE
AFG,Afghanistan,Asia,A06,1,FALSE,TRUE,FALSE
AFG,Afghanistan,Asia,A06a,2,FALSE,TRUE,FALSE
AFG,Afghanistan,Asia,A06a,5,FALSE,FALSE,TRUE
AFG,Afghanistan,Asia,A06e,1,FALSE,TRUE,FALSE
AFG,Afghanistan,Asia,A08,7,FALSE,TRUE,FALSE
AFG,Afghanistan,Asia,A14,2,FALSE,TRUE,FALSE
AFG,Afghanistan,Asia,A16,1,FALSE,TRUE,FALSE
AFG,Afghanistan,Asia,A23,1,FALSE,TRUE,FALSE
AGO,Angola,Africa,A01a,1,FALSE,TRUE,FALSE
AGO,Angola,Africa,A01b,1,FALSE,TRUE,FALSE
AGO,Angola,Africa,A03a,2,FALSE,TRUE,FALSE
AGO,Angola,Africa,A03b,1,FALSE,TRUE,FALSE
AGO,Angola,Africa,A06,1,FALSE,TRUE,FALSE
AGO,Angola,Africa,A06a,3,FALSE,TRUE,FALSE
AGO,Angola,Africa,A06a,10,FALSE,FALSE,TRUE
AGO,Angola,Africa,A06c,3,FALSE,TRUE,FALSE
AGO,Angola,Africa,A06d,2,FALSE,TRUE,FALSE
AGO,Angola,Africa,A06e,1,FALSE,TRUE,FALSE
AGO,Angola,Africa,A06f,1,FALSE,TRUE,FALSE
AGO,Angola,Africa,A08,1,FALSE,TRUE,FALSE
AGO,Angola,Africa,A10,2,FALSE,TRUE,FALSE
AGO,Angola,Africa,A14,2,FALSE,TRUE,FALSE
AGO,Angola,Africa,A16,2,FALSE,TRUE,FALSE
AGO,Angola,Africa,A24,1,FALSE,TRUE,FALSE
ALB,Albania,Europe,A01a,1,FALSE,TRUE,FALSE
ALB,Albania,Europe,A01b,1,FALSE,TRUE,FALSE
ALB,Albania,Europe,A02a,2,FALSE,TRUE,FALSE
ALB,Albania,Europe,A03a,1,FALSE,TRUE,FALSE
ALB,Albania,Europe,A06,1,FALSE,TRUE,FALSE
ALB,Albania,Europe,A06a,2,FALSE,TRUE,FALSE
ALB,Albania,Europe,A06a,5,FALSE,FALSE,TRUE
ALB,Albania,Europe,A06c,2,FALSE,TRUE,FALSE
ALB,Albania,Europe,A06e,2,FALSE,TRUE,FALSE
ALB,Albania,Europe,A06f,1,FALSE,TRUE,FALSE
ALB,Albania,Europe,A08,2,FALSE,TRUE,FALSE
ALB,Albania,Europe,A10,2,FALSE,TRUE,FALSE
ALB,Albania,Europe,A12a,1,FALSE,TRUE,FALSE
ALB,Albania,Europe,A14,2,FALSE,TRUE,FALSE
ALB,Albania,Europe,A19,1,FALSE,TRUE,FALSE
ALB,Albania,Europe,A23,1,FALSE,TRUE,FALSE
ALB,Albania,Europe,A24,1,FALSE,TRUE,FALSE
ALB,Albania,Europe,A26,1,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A01a,4,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A01b,4,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A03a,1,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A06,1,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A06a,4,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A06a,30,FALSE,FALSE,TRUE
ARE,United Arab Emirates,Asia,A06b,3,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A06c,2,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A06e,2,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A06f,1,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A08,4,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A13,3,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A14,2,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A16,2,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A18,2,FALSE,TRUE,FALSE
ARE,United Arab Emirates,Asia,A24,1,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A01b,6,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A02a,1,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A06,1,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A06a,1,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A06a,2,FALSE,FALSE,TRUE
ARG,Argentina,Americas,A06e,1,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A06f,1,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A08,1,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A09,1,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A12a,1,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A16,2,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A24,1,FALSE,TRUE,FALSE
ARG,Argentina,Americas,A25,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A01a,2,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A01b,2,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A03a,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A03b,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A06,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A06a,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A06a,3,FALSE,FALSE,TRUE
ARM,Armenia,Asia,A06c,2,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A06d,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A06e,3,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A08,2,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A09,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A10,2,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A11,2,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A12a,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A14,2,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A16,2,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A18,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A19,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A20,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A22,1,FALSE,TRUE,FALSE
ARM,Armenia,Asia,A24,1,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A01b,6,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A02a,1,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A03a,2,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A03b,1,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A04,1,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A06,1,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A06a,3,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A06a,5,FALSE,FALSE,TRUE
ATG,Antigua and Barbuda,Americas,A06e,3,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A08,2,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A10,2,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A11,1,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A12b,1,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A13,1,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A14,2,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A16,2,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A18,2,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A24,1,FALSE,TRUE,FALSE
ATG,Antigua and Barbuda,Americas,A25,1,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A01a,1,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A01b,6,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A02a,2,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A03a,1,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A03b,1,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A05,1,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A06,1,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A06a,1,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A06a,4,FALSE,FALSE,TRUE
AUS,Australia,Oceania,A06c,3,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A06d,2,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A06e,3,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A10,1,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A12a,1,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A12b,2,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A16,2,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A18,1,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A24,1,FALSE,TRUE,FALSE
AUS,Australia,Oceania,A25,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A01a,1,FALSE,TRUE,FALSE
AUT,Austria,Europe,A01b,1,FALSE,TRUE,FALSE
AUT,Austria,Europe,A03a,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A03b,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A04,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A05,1,FALSE,TRUE,FALSE
AUT,Austria,Europe,A06,1,FALSE,TRUE,FALSE
AUT,Austria,Europe,A06a,3,FALSE,TRUE,FALSE
AUT,Austria,Europe,A06a,10,FALSE,FALSE,TRUE
AUT,Austria,Europe,A06b,3,FALSE,TRUE,FALSE
AUT,Austria,Europe,A06c,3,FALSE,TRUE,FALSE
AUT,Austria,Europe,A06d,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A06e,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A06f,1,FALSE,TRUE,FALSE
AUT,Austria,Europe,A08,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A10,1,FALSE,TRUE,FALSE
AUT,Austria,Europe,A12b,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A13,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A14,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A16,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A18,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A20,1,FALSE,TRUE,FALSE
AUT,Austria,Europe,A21,1,FALSE,TRUE,FALSE
AUT,Austria,Europe,A22,1,FALSE,TRUE,FALSE
AUT,Austria,Europe,A23,2,FALSE,TRUE,FALSE
AUT,Austria,Europe,A24,1,FALSE,TRUE,FALSE
AUT,Austria,Europe,A26,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A01a,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A01b,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A03a,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A03b,3,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A06,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A06a,2,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A06a,5,FALSE,FALSE,TRUE
AZE,Azerbaijan,Asia,A06c,3,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A06d,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A06e,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A06f,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A10,2,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A14,2,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A16,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A22,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A23,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A24,1,FALSE,TRUE,FALSE
AZE,Azerbaijan,Asia,A25,1,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A01a,1,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A01b,1,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A03a,1,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A04,2,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A06,1,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A06a,3,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A06a,10,FALSE,FALSE,TRUE
BDI,Burundi,Africa,A06c,1,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A06d,1,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A06e,2,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A08,6,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A10,1,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A12b,2,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A14,2,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A16,2,FALSE,TRUE,FALSE
BDI,Burundi,Africa,A24,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A01a,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A01b,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A02a,2,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A02b,3,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A03a,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A03b,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A04,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A05,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A06,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A06a,2,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A06a,5,FALSE,FALSE,TRUE
BEL,Belgium,Europe,A06c,3,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A06d,2,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A06e,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A08,2,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A10,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A11,2,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A12b,2,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A14,2,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A16,2,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A21,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A23,1,FALSE,TRUE,FALSE
BEL,Belgium,Europe,A24,1,FALSE,TRUE,FALSE
BEN,Benin,Africa,A01a,1,FALSE,TRUE,FALSE
BEN,Benin,Africa,A01b,1,FALSE,TRUE,FALSE
BEN,Benin,Africa,A02b,1,FALSE,TRUE,FALSE
BEN,Benin,Africa,A03a,2,FALSE,TRUE,FALSE
BEN,Benin,Africa,A03b,3,FALSE,TRUE,FALSE
BEN,Benin,Africa,A05,1,FALSE,TRUE,FALSE
BEN,Benin,Africa,A06,1,FALSE,TRUE,FALSE
BEN,Benin,Africa,A06a,3,FALSE,TRUE,FALSE
BEN,Benin,Africa,A06a,3,FALSE,FALSE,TRUE
BEN,Benin,Africa,A06c,3,FALSE,TRUE,FALSE
BEN,Benin,Africa,A06d,1,FALSE,TRUE,FALSE
BEN,Benin,Africa,A06e,2,FALSE,TRUE,FALSE
BEN,Benin,Africa,A06f,1,FALSE,TRUE,FALSE
BEN,Benin,Africa,A08,3,FALSE,TRUE,FALSE
BEN,Benin,Africa,A09,2,FALSE,TRUE,FALSE
BEN,Benin,Africa,A10,1,FALSE,TRUE,FALSE
BEN,Benin,Africa,A13,3,FALSE,TRUE,FALSE
BEN,Benin,Africa,A14,2,FALSE,TRUE,FALSE
BEN,Benin,Africa,A16,2,FALSE,TRUE,FALSE
BEN,Benin,Africa,A20,1,FALSE,TRUE,FALSE
BEN,Benin,Africa,A24,1,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A01a,1,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A01b,1,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A02b,1,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A03a,1,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A03b,1,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A05,2,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A06,1,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A06a,3,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A06a,10,FALSE,FALSE,TRUE
BFA,Burkina Faso,Africa,A06e,2,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A08,1,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A09,2,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A10,1,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A13,3,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A14,2,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A16,2,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A24,1,FALSE,TRUE,FALSE
BFA,Burkina Faso,Africa,A26,1,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A01a,1,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A01b,1,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A02a,1,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A06,1,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A06a,2,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A06a,5,FALSE,FALSE,TRUE
BGD,Bangladesh,Asia,A06b,3,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A06e,3,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A08,4,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A12b,3,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A13,3,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A14,2,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A16,1,FALSE,TRUE,FALSE
BGD,Bangladesh,Asia,A18,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A01a,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A01b,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A03a,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A03b,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A04,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A05,2,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A06,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A06a,2,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A06a,5,FALSE,FALSE,TRUE
BGR,Bulgaria,Europe,A06b,2,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A06c,2,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A06e,2,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A06f,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A08,2,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A10,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A12b,2,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A14,2,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A16,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A19,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A22,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A23,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A24,1,FALSE,TRUE,FALSE
BGR,Bulgaria,Europe,A26,1,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A01a,4,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A01b,4,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A03a,1,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A06,1,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A06a,3,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A06a,25,FALSE,FALSE,TRUE
BHR,Bahrain,Asia,A06c,2,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A06e,3,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A06f,1,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A08,7,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A09,2,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A13,3,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A14,2,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A16,1,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A19,1,FALSE,TRUE,FALSE
BHR,Bahrain,Asia,A24,1,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A01a,3,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A01b,4,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A04,1,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A05,2,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A06,1,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A06a,3,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A06a,6,FALSE,FALSE,TRUE
BHS,Bahamas,Americas,A06b,3,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A06c,2,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A06d,1,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A06e,3,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A08,3,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A09,2,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A10,2,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A12b,2,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A13,3,FALSE,TRUE,FALSE
BHS,Bahamas,Americas,A18,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A01a,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A01b,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A03a,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A03b,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A06,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A06a,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A06a,3,FALSE,FALSE,TRUE
BIH,Bosnia and Herzegovina,Europe,A06b,2,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A06c,2,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A06d,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A06e,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A06f,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A08,2,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A09,2,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A10,2,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A16,2,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A19,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A22,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A23,1,FALSE,TRUE,FALSE
BIH,Bosnia and Herzegovina,Europe,A24,1,FALSE,TRUE,FALSE
BLR,Belarus,Europe,A01a,1,FALSE,TRUE,FALSE
BLR,Belarus,Europe,A01b,1,FALSE,TRUE,FALSE
BLR,Belarus,Europe,A03a,1,FALSE,TRUE,FALSE
BLR,Belarus,Europe,A03b,1,FALSE,TRUE,FALSE
BLR,Belarus,Europe,A06,1,FALSE,TRUE,FALSE
BLR,Belarus,Europe,A06a,3,FALSE,TRUE,FALSE
BLR,Belarus,Europe,A06a,7,FALSE,FALSE,TRUE
BLR,Belarus,Europe,A06b,3,FALSE,TRUE,FALSE
BLR,Belarus,Europe,A06c,2,FALSE,TRUE,FALSE
BLR,Belarus,Europe,A06d,1,FALSE,TRUE,FALSE
BLR,Belarus,Europe,A06e,1,FALSE,TRUE,FALSE
