iso3,country,year,mode_id,article,procedure,specification,category
AFG,Afghanistan,2020,A01a,"AFG 9(2), 10-11",Attribution (automatic),Person is born in Afghanistan to a citizen. ,Generally applicable provision
AFG,Afghanistan,2020,A01b,"AFG 9(2), 10-11",Attribution (automatic),"Person is born abroad to two citizens. Or person is born abroad to a citizen and a non-citizen, and (1) one of the parents permanently resides in Afghanistan, or (2) the parents live outside Afghanistan and they select Afghan citizenship for the child by mutual consent.",Dual citizenship restriction
AFG,Afghanistan,2020,A02a,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A02b,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A03a,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A03b,AFG 12,Attribution (automatic),Person is found in Afghanistan and documents prove that the child cannot acquire the parents' citizenship.,Generally applicable provision
AFG,Afghanistan,2020,A04,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A05,AFG 13,Application (entitlement),"Person is born in Afghanistan to foreign parents and intends to permanently live in Afghanistan after reaching the age of 18 years, unless citizenship of another country is acquired within 6 months after reaching the age of 18. Does not apply if parents are diplomats or work for an international organisation.",Age restriction: person can only acquire citizenship after reaching the age of majority
AFG,Afghanistan,2020,A06,AFG 15,Grant (discretionary),Person has been resident in Afghanistan for 5 years. Other conditions: no crime committed during his/her stay in Afghanistan.,Generally applicable provision (see further conditions under A06a-A06f)
AFG,Afghanistan,2020,A06a,AFG 15,Grant (discretionary),Person has been resident in Afghanistan for 5 years.,5 years of residence required
AFG,Afghanistan,2020,A06b,AFG 15,Grant (discretionary),n.a.,No requirement
AFG,Afghanistan,2020,A06c,AFG 15,Grant (discretionary),n.a.,No requirement
AFG,Afghanistan,2020,A06d,AFG 15,Grant (discretionary),n.a.,No requirement
AFG,Afghanistan,2020,A06e,AFG 15,Grant (discretionary),No crime committed during his/her stay in Afghanistan.,"Exclusion for certain specified crimes, offences or character queries"
AFG,Afghanistan,2020,A06f,AFG 15,Grant (discretionary),n.a.,No requirement
AFG,Afghanistan,2020,A07,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A08,AFG 18,Grant (discretionary),Person is the spouse of a citizen and the marriage was concluded in accordance with Islamic Sharia law.,"Group restriction: only if spouse of a citizen is member of a particular group, race or religion"
AFG,Afghanistan,2020,A09,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A10,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A11,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A12a,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A12b,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A13,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A14,AFG 17(1)-(3); AFG 20(1); AFG 20(2),Attribution (automatic);Grant (discretionary);Grant (discretionary),"Person is the minor child of parents who are acquiring citizenship, or one parent is acquiring citizenship and the child lives with him/her. Children who have reached the age of 18 years and live abroad can 'request' citizenship if both parents are acquiring citizenship.; Person is the minor child of a foreign widow(er), is living with that parent, and the parent is marrying a citizen and acquiring citizenship.; Person is the minor child of a foreign separated parent, is living with that parent in Afghanistan, and the parent is marrying a citizen and acquiring citizenship. If the child and parent do not reside in Afghanistan, the other separated parent must consent to the child acquiring citizenship.",Age restriction: only if child is minor
AFG,Afghanistan,2020,A16,AFG 35,Grant (discretionary),Person is a former citizen and his/her request for reacquisition is approved by the Council of Ministers and signed by the president.,Generally applicable provision
AFG,Afghanistan,2020,A18,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A19,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A20,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A21,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A22,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A23,AFG 15; AFG 19,Grant (discretionary);Grant (discretionary),Person does not have citizenship of any country. Other conditions: see A06.; Person does not have citizenship of any country and marries a citizen.,Generally applicable provision
AFG,Afghanistan,2020,A24,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A25,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,A26,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A01a,"Const 9(2), ANG 9(1)",Attribution (automatic),Person is born in Angola to a citizen.,Generally applicable provision
AGO,Angola,2020,A01b,Const 9(2),Attribution (automatic),Person is born abroad to a citizen.,Generally applicable provision
AGO,Angola,2020,A02a,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A02b,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A03a,"Const 9(3), ANG 9(2)",Attribution (automatic),Person is found in Angolan territory as a newborn child.,Age restriction
AGO,Angola,2020,A03b,ANG 15,Grant (discretionary),"Person is born in territory and does not possess any other citizenship, or person is born in territory of parents who are stateless or of unknown citizenship.",Generally applicable provision
AGO,Angola,2020,A04,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A05,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A06,ANG 14,Grant (discretionary),"Person has been resident in Angola for 10 years. Other conditions: able to govern him/herself and secure subsistence (evidenced by regular tax payment in previous 3 years), sufficient knowledge of Portuguese as proved in an exam, effective link to national community proved by exam, adequate knowledge of rights and duties under the constitution, not convicted of crime punishable by more than 3 years in prison.",Generally applicable provision (see further conditions under A06a-A06f)
AGO,Angola,2020,A06a,ANG 14,Grant (discretionary),Person has been resident in Angola for 10 years. ,6-10 years of residence required
AGO,Angola,2020,A06b,ANG 14,Grant (discretionary),n.a.,No requirement
AGO,Angola,2020,A06c,ANG 14,Grant (discretionary),Person has sufficient knowledge of Portuguese as proved in an exam.,Language requirement with certification or test
AGO,Angola,2020,A06d,ANG 14,Grant (discretionary),"Person has effective link to national community proved by exam, adequate knowledge of rights and duties under the constitution.",Requirement with certification or test
AGO,Angola,2020,A06e,ANG 14,Grant (discretionary),Person is not convicted of crime punishable by more than 3 years in prison.,"Exclusion for certain specified crimes, offences or character queries"
AGO,Angola,2020,A06f,ANG 14,Grant (discretionary),Person is able to govern him/herself and secure subsistence (evidenced by regular tax payment in previous 3 years).,Requirement (conditions not further specified in database)
AGO,Angola,2020,A07,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A08,ANG 13,Application (entitlement),"Person has been the spouse or legally recognised partner of a citizen for 5 years, with common household. Other conditions: required to be adult, show integration in Angolan society, and no conviction of crime.",Generally applicable provision (no residence requirement)
AGO,Angola,2020,A09,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A10,ANG 12,Application (entitlement),"Person is a minor who is adopted by a citizen. Other conditions: if person is over 14, s/he must demonstrate willingness to become a citizen.",Age restriction: only if adopted child is a minor
AGO,Angola,2020,A11,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A12a,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A12b,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A13,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A14,ANG 11,Grant (discretionary),Person is without legal capacity and either parent acquires citizenship. Person has to submit a separate request and provide proof that one of the parents has acquired Angolan citizenship.,Age restriction: only if child is minor
AGO,Angola,2020,A16,ANG 18,Grant (discretionary),Person is a former citizen who renounced citizenship or who lost it because s/he worked for a foreign state.,Mode restriction: only if citizenship was lost on particular grounds
AGO,Angola,2020,A18,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A19,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A20,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A21,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A22,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A23,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A24,ANG 14(2); ANG 14(3),Grant (discretionary);Grant (discretionary),"Person has rendered services to the country or has exceptional professional, scientific or artistic qualifications. Other conditions: National Assembly grants after debate on request of at least 15 deputies.; Person has rendered relevant services to the state. Other conditions: president grants on basis conditions provided under mode A06, except that residence period, financial requirements, and knowledge of Portuguese may be waived.",Provision exists (conditions not further specified in database)
AGO,Angola,2020,A25,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,A26,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,A01a,ALB 7,Attribution (automatic),Person is born in Albania to a citizen.,Generally applicable provision
ALB,Albania,2020,A01b,ALB 7,Attribution (automatic),Person is born abroad to a citizen.,Generally applicable provision
ALB,Albania,2020,A02a,8(3),Application (entitlement),Person is born to parents of another country who are lawful residents in Albania and both parents give their consent to acquisition of citizenship.,Parental residence restriction
ALB,Albania,2020,A02b,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,A03a,ALB 8(1),Attribution (automatic),Person is found in Albania of unknown parentage and would otherwise be stateless.,Generally applicable provision
ALB,Albania,2020,A03b,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,A04,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,A05,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,A06,ALB 9,Application (entitlement),"Person has been lawfully resident in Albania for at least 5 continuous years. Other conditions: dwelling and sufficient income, no sentence in any country for a criminal offence that carries a prison sentence of at least 3 years (exemption only if the sentence was given for political motives), elementary knowledge of the Albanian language, no danger to security and defence of Albania.",Generally applicable provision (see further conditions under A06a-A06f)
ALB,Albania,2020,A06a,ALB 10,Application (entitlement),Person has been lawfully resident in Albania for at least 5 continuous years.,5 years of residence required
ALB,Albania,2020,A06b,ALB 11,Application (entitlement),n.a.,No requirement
ALB,Albania,2020,A06c,ALB 12,Application (entitlement),Person has elementary knowledge of the Albanian language.,Language requirement without certification or test
ALB,Albania,2020,A06d,ALB 13,Application (entitlement),n.a.,No requirement
ALB,Albania,2020,A06e,ALB 14,Application (entitlement),"Person is not a danger to security and defence of Albania, no sentence in any country for a criminal offence that carries a prison sentence of at least 3 years (exemption only if the sentence was given for political motives).","Exclusion for certain specified crimes, offences or character queries and general moral character condition applies"
ALB,Albania,2020,A06f,ALB 15,Application (entitlement),Person has dwelling and sufficient income.,Requirement (conditions not further specified in database)
ALB,Albania,2020,A07,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,A08,ALB 10,Application (entitlement),Person has been married to an Albanian citizen for at least 3 years and has lawfully and continuously resided in Albania for 1 year.,Generally applicable provision (with residence requirement)
ALB,Albania,2020,A09,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,A10,ALB 12,Attribution (automatic),"Person is a minor and is adopted by two citizens, or by one citizen and both parents reside in Albania at the time of adoption, or is stateless or becomes stateless as a result of the adoption. ",Age restriction: only if adopted child is a minor
ALB,Albania,2020,A11,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,A12a,ALB 9(9),Application (entitlement),"Person is a direct descendant up to the 2nd generation and has been resident in Albania for at least 3 continuous years. Other conditions: see A06
",Provision exists (conditions not further specified in database)
ALB,Albania,2020,A12b,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,A13,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,A14,ALB 11,Application (entitlement),"Person is a minor who lives with his/her parents, and both parents are acquiring citizenship by naturalisation and request that the child be included (child must consent if between the age of 14-18). If only one parent is acquiring citizenship by naturalisation, the minor acquires citizenship if so requested by both parents, or by one of the parents if the other parent is stateless, and the child is resident in Albania.",Age restriction: only if child is minor
ALB,Albania,2020,A16,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,A18,No provision,n.a.,n.a.,No provision
