iso3,country,year,mode_id,article,procedure,specification,category
AFG,Afghanistan,2020,L01,AFG 24-25,Release,"Person has fulfiled his/her duties and obligations towards Afghanistan, does not have financial responsibilities towards Afghan institutions, organisations or other citizens, and is not accused of and/or indicted for criminal acts. Loss can result in statelessness.",Generally applicable provision (permission required)
AFG,Afghanistan,2020,L02,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,L03,AFG 31(2),Withdrawal,Person serves in the army of a foreign country that is at war with Afghanistan. Loss can result in statelessness.,Generally applicable provision
AFG,Afghanistan,2020,L04,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,L05,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,L06,AFG 10(2),Lapse,Person accepts his/her parents' (previous) citizenship within 6 months after reaching the age of 18 years. ,Generally applicable provision (conditions not further specified in database)
AFG,Afghanistan,2020,L07,"AFG 31(1), 32",Withdrawal,Person has been indicted for treachery to the country and to the nation. Or person is a naturalised citizen who commits a crime or treason to the Afghan people during his/her stay in Afghanistan or abroad. Loss can result in statelessness.,Generally applicable provision
AFG,Afghanistan,2020,L08,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,L09,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,L10,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,L11,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,L12,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,L13a,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,L13b,No provision,n.a.,n.a.,No provision
AFG,Afghanistan,2020,L14,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,L01,"ANG 17(1)(a), 17(1)(c), 17(1)(d)",Renunciation ,Person voluntarily acquires another citizenship and declares that s/he wishes to renounce citizenship of Angola. Or person acquired citizenship by birth abroad and opts for citizenship of other country when age of majority is attained. Or person is adopted as a minor and opts for other citizenship when age of majority is attained.,Generally applicable provision (citizenship can be renounced)
AGO,Angola,2020,L02,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,L03,ANG 17(2)(b),Withdrawal,Person is a naturalised citizen and performs military service to foreign state.,Loss only applies to certain categories of citizens
AGO,Angola,2020,L04,ANG 17(1)(b),Lapse,Person exercises sovereign functions in another state unless s/he communicates this in advance to National Assembly.,Generally applicable provision
AGO,Angola,2020,L05,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,L06,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,L07,ANG 17(2)(a); ANG 17(2)(e),Lapse;Lapse,Person is a naturalised citizen who is convicted of a crime against security of state;Person is a naturalised citizen who carries out acts in Angolan territory indicating s/he has another citizenship (which s/he holds).,Loss only applies to certain categories of citizens
AGO,Angola,2020,L08,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,L09,ANG 17(2)(c) and (d),Lapse,"Person is a naturalised citizen who acquired citizenship through fraud or by inducing errors in authorities or on the basis of marriage or de facto union that is simulated, ill faith etc.",Loss only applies to certain categories of citizens
AGO,Angola,2020,L10,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,L11,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,L12,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,L13a,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,L13b,No provision,n.a.,n.a.,No provision
AGO,Angola,2020,L14,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,L01,"ALB 14, 15",Release,"Person is or will become a citizen of another country, resides abroad, faces no pending charges for a criminal offence with a sentence of more than 5 years, and no legal obligations towards state authorities, or natural or legal persons. The renunciation will be revoked if the person does not acquire another nationality within a reasonable time.",Generally applicable provision (permission required)
ALB,Albania,2020,L02,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,L03,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,L04,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,L05,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,L06,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,L07,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,L08,No provision,n.a.,n.a.,No provision
ALB,Albania,2020,L09,ALB 13(1),Withdrawal,Person has acquired citizenship based on incorrect data or falsified documents.,Generally applicable provision
ALB,Albania,2020,L10,No provision,n.a.,n.a.,No provision
