dest_notes,dest_loc,dest_dtype,orig_loc,value
NA,900,NA,900,85510752
NA,900,NA,947,7391439
NA,900,NA,1833,8700647
NA,900,NA,921,13718322
NA,900,NA,1832,10940422
NA,900,NA,1830,12446161
NA,900,NA,1835,191857
NA,900,NA,927,450533
NA,900,NA,1829,28201599
NA,900,NA,901,29020262
NA,900,NA,902,53020718
NA,900,NA,934,40317436
NA,900,NA,948,49664535
NA,900,NA,941,12703282
NA,900,NA,1636,11152992
NA,900,NA,1637,4185315
NA,900,NA,1503,19873544
NA,900,NA,1517,53834190
NA,900,NA,1502,30464291
NA,900,NA,1501,23369899
NA,900,NA,1500,8208137
NA,900,NA,903,10094675
NA,900,NA,910,2912688
NA,900,NA,911,1214513
NA,900,NA,912,2703236
NA,900,NA,913,359195
NA,900,NA,914,2905043
NA,900,NA,935,30656155
NA,900,NA,5500,3340029
NA,900,NA,906,4734150
NA,900,NA,920,6206272
NA,900,NA,5501,10378293
NA,900,NA,922,5997411
NA,900,NA,908,26480131
NA,900,NA,923,13245256
NA,900,NA,924,3368586
NA,900,NA,925,6263391
NA,900,NA,926,3602898
NA,900,NA,904,12446161
NA,900,NA,915,3237341
NA,900,NA,916,5751225
NA,900,NA,931,3457595
NA,900,NA,905,1721468
NA,900,NA,909,642390
NA,900,NA,927,450533
NA,900,NA,928,77917
NA,900,NA,954,19784
NA,900,NA,957,94156
NA,900,NA,108,370228
NA,900,NA,174,33544
NA,900,NA,262,3854
NA,900,NA,232,256053
NA,900,NA,231,206521
NA,900,NA,404,163226
NA,900,NA,450,44771
NA,900,NA,454,76012
NA,900,NA,480,65697
NA,900,NA,175,3238
NA,900,NA,508,253231
NA,900,NA,638,1303
NA,900,NA,646,160272
NA,900,NA,690,10497
NA,900,NA,706,488438
NA,900,NA,728,152302
NA,900,NA,800,263312
NA,900,NA,834,106807
NA,900,NA,894,83072
NA,900,NA,716,170310
NA,900,NA,24,455330
NA,900,NA,120,79197
NA,900,NA,140,27923
NA,900,NA,148,98558
NA,900,NA,178,64673
NA,900,NA,180,435481
NA,900,NA,226,31031
NA,900,NA,266,9056
NA,900,NA,678,13264
NA,900,NA,12,457682
NA,900,NA,818,602779
NA,900,NA,434,37367
NA,900,NA,504,942702
NA,900,NA,729,382903
NA,900,NA,788,204815
NA,900,NA,732,74988
NA,900,NA,72,10543
NA,900,NA,748,14989
NA,900,NA,426,53354
