iso3,mode_id,specification,definition,restriction_warning,wing
AFG,A01a,Person is born in Afghanistan to a citizen.,NA,NA,parentage
AGO,A01a,Person is born in Angola to a citizen.,NA,NA,parentage
ALB,A01a,Person is born in Albania to a citizen.,NA,NA,parentage
ARE,A01a,"Person is born in the UAE to a male citizen, or to a female citizen and the father is unknown or stateless;
Person is born to a female citizen who is married to a foreign citizen. Citizenship can be acquired six years after the date of birth, and only if the mother had citizenship during the period from the date of birth until the date of submission of the request. 
",NA,father-citizen,parentage
ARM,A01a,"Person is born to parents who are both citizens or to a parent who is a citizen and the other parent is unknown or stateless. If one parent is a citizen and the other parent is a foreigner, the child acquires citizenship based on a written consent. In the absence of written consent, the child acquires citizenship if s/he is otherwise stateless, or both parents reside permanently in Armenia.",NA,dual,parentage
AUS,A01a,Person is born in Australia to a citizen or permanent resident (with exceptions for birth to an enemy alien in occupied territory).,NA,NA,parentage
AUT,A01a,Person is born in Austria to a citizen.,NA,NA,parentage
AZE,A01a,Person is born in Azerbaijan to a citizen.,NA,NA,parentage
BDI,A01a,"Person is the child of a citizen (constitution), or person is born in wedlock to a father who is a citizen, or is recognised by voluntary or court-ordered legitimation as the child of a Burundian father, or paternal descent is not established and the child is recognised voluntarily or by court order as the child of a Burundian mother, or the child is repudiated by the father and the mother is a citizen (law).",NA,NA,parentage
BEL,A01a,Person is born in Belgium to a citizen.,NA,NA,parentage
BEN,A01a,Person is born in Benin to a citizen.,NA,NA,parentage
BFA,A01a,Person is born in Burkina Faso to a citizen.,NA,NA,parentage
BGD,A01a,Person is born in Bangladesh to a citizen.,NA,NA,parentage
BGR,A01a,Person is born in Bulgaria to a citizen.,NA,NA,parentage
BHR,A01a,"4(a): Person is born in Bahrain to a male citizen. The father has to be Bahraini citizen at the time of the child's birth.
4(b): Person is born in Bahrain to a female citizen, providing that his father was either unknown or not legally to be related to his father. The mother has to be Bahraini citizen at the time of the child's birth.",NA,father-citizen,parentage
BHS,A01a,Person is born in the Bahamas to a citizen parent in wedlock or to a citizen mother out of wedlock.,NA,wedlock,parentage
BIH,A01a,Person is born in BiH to a citizen.,NA,NA,parentage
BLR,A01a,Person is born in Belarus to a citizen.,NA,NA,parentage
BRN,A01a,Person is born in Brunei to a father who is a citizen.,NA,parent-group,parentage
BTN,A01a,Person is born in Bhutan to two citizens.,NA,dual,parentage
BWA,A01a,Person is born in Botswana to a citizen.,NA,NA,parentage
CAF,A01a,Person is born in CAR to a citizen.,NA,NA,parentage
CHE,A01a,Person is born in Switzerland to a citizen.,NA,NA,parentage
CHN,A01a,Person is born in China to a citizen.,NA,NA,parentage
CIV,A01a,Person is born in Cote d'Ivoire in wedlock or descent to a citizen is established (unless descent is established to one or both parents who are foreigners).,NA,wedlock,parentage
CMR,A01a,Person is born in Cameroon in wedlock and either parent is a citizen.,NA,wedlock,parentage
COD,A01a,Person is born in DRC to a citizen.,NA,NA,parentage
COG,A01a,Person born in the country to a citizen.,NA,NA,parentage
COL,A01a,Person is born in Colombia to a citizen.,NA,NA,parentage
COM,A01a,Person is born in Comoros to a citizen.,NA,NA,parentage
CPV,A01a,Person is born in Cape Verde to a citizen.,NA,NA,parentage
CRI,A01a,Person is born in Costa Rica to a citizen.,NA,NA,parentage
