region,loc_code,iso3,subregion,subregion_code,continent,continent_code
Algeria,12,DZA,Northern Africa,912,Africa,903
Egypt,818,EGY,Northern Africa,912,Africa,903
Libya,434,LBY,Northern Africa,912,Africa,903
Morocco,504,MAR,Northern Africa,912,Africa,903
Sudan,729,SDN,Northern Africa,912,Africa,903
Tunisia,788,TUN,Northern Africa,912,Africa,903
Western Sahara,732,ESH,Northern Africa,912,Africa,903
British Indian Ocean Territory,86,IOT,Eastern Africa,910,Africa,903
Burundi,108,BDI,Eastern Africa,910,Africa,903
Comoros,174,COM,Eastern Africa,910,Africa,903
Djibouti,262,DJI,Eastern Africa,910,Africa,903
Eritrea,232,ERI,Eastern Africa,910,Africa,903
Ethiopia,231,ETH,Eastern Africa,910,Africa,903
French Southern Territories,260,ATF,Eastern Africa,910,Africa,903
Kenya,404,KEN,Eastern Africa,910,Africa,903
Madagascar,450,MDG,Eastern Africa,910,Africa,903
Malawi,454,MWI,Eastern Africa,910,Africa,903
Mauritius,480,MUS,Eastern Africa,910,Africa,903
Mayotte,175,MYT,Eastern Africa,910,Africa,903
Mozambique,508,MOZ,Eastern Africa,910,Africa,903
Réunion,638,REU,Eastern Africa,910,Africa,903
Rwanda,646,RWA,Eastern Africa,910,Africa,903
Seychelles,690,SYC,Eastern Africa,910,Africa,903
Somalia,706,SOM,Eastern Africa,910,Africa,903
South Sudan,728,SSD,Eastern Africa,910,Africa,903
Uganda,800,UGA,Eastern Africa,910,Africa,903
United Republic of Tanzania,834,TZA,Eastern Africa,910,Africa,903
Zambia,894,ZMB,Eastern Africa,910,Africa,903
Zimbabwe,716,ZWE,Eastern Africa,910,Africa,903
Angola,24,AGO,Middle Africa,911,Africa,903
Cameroon,120,CMR,Middle Africa,911,Africa,903
Central African Republic,140,CAF,Middle Africa,911,Africa,903
Chad,148,TCD,Middle Africa,911,Africa,903
Congo,178,COG,Middle Africa,911,Africa,903
Democratic Republic of the Congo,180,COD,Middle Africa,911,Africa,903
Equatorial Guinea,226,GNQ,Middle Africa,911,Africa,903
Gabon,266,GAB,Middle Africa,911,Africa,903
Sao Tome and Principe,678,STP,Middle Africa,911,Africa,903
Botswana,72,BWA,Southern Africa,913,Africa,903
Eswatini,748,SWZ,Southern Africa,913,Africa,903
Lesotho,426,LSO,Southern Africa,913,Africa,903
Namibia,516,NAM,Southern Africa,913,Africa,903
South Africa,710,ZAF,Southern Africa,913,Africa,903
Benin,204,BEN,Western Africa,914,Africa,903
Burkina Faso,854,BFA,Western Africa,914,Africa,903
Cabo Verde,132,CPV,Western Africa,914,Africa,903
Côte d’Ivoire,384,CIV,Western Africa,914,Africa,903
Gambia,270,GMB,Western Africa,914,Africa,903
Ghana,288,GHA,Western Africa,914,Africa,903
Guinea,324,GIN,Western Africa,914,Africa,903
Guinea-Bissau,624,GNB,Western Africa,914,Africa,903
Liberia,430,LBR,Western Africa,914,Africa,903
Mali,466,MLI,Western Africa,914,Africa,903
Mauritania,478,MRT,Western Africa,914,Africa,903
Niger,562,NER,Western Africa,914,Africa,903
Nigeria,566,NGA,Western Africa,914,Africa,903
Saint Helena,654,SHN,Western Africa,914,Africa,903
Senegal,686,SEN,Western Africa,914,Africa,903
Sierra Leone,694,SLE,Western Africa,914,Africa,903
Togo,768,TGO,Western Africa,914,Africa,903
Anguilla,660,AIA,Caribbean,915,America,904
Antigua and Barbuda,28,ATG,Caribbean,915,Latin America and the Caribbean,904
Aruba,533,ABW,Caribbean,915,Latin America and the Caribbean,904
Bahamas,44,BHS,Caribbean,915,Latin America and the Caribbean,904
Barbados,52,BRB,Caribbean,915,Latin America and the Caribbean,904
"Bonaire, Sint Eustatius and Saba",535,BES,Caribbean,915,Latin America and the Caribbean,904
British Virgin Islands,92,VGB,Caribbean,915,Latin America and the Caribbean,904
Cayman Islands,136,CYM,Caribbean,915,Latin America and the Caribbean,904
Cuba,192,CUB,Caribbean,915,Latin America and the Caribbean,904
Curaçao,531,CUW,Caribbean,915,Latin America and the Caribbean,904
Dominica,212,DMA,Caribbean,915,Latin America and the Caribbean,904
Dominican Republic,214,DOM,Caribbean,915,Latin America and the Caribbean,904
Grenada,308,GRD,Caribbean,915,Latin America and the Caribbean,904
Guadeloupe,312,GLP,Caribbean,915,Latin America and the Caribbean,904
Haiti,332,HTI,Caribbean,915,Latin America and the Caribbean,904
Jamaica,388,JAM,Caribbean,915,Latin America and the Caribbean,904
Martinique,474,MTQ,Caribbean,915,Latin America and the Caribbean,904
Montserrat,500,MSR,Caribbean,915,Latin America and the Caribbean,904
Puerto Rico,630,PRI,Caribbean,915,Latin America and the Caribbean,904
Saint Barthélemy,652,BLM,Caribbean,915,Latin America and the Caribbean,904
Saint Kitts and Nevis,659,KNA,Caribbean,915,Latin America and the Caribbean,904
Saint Lucia,662,LCA,Caribbean,915,Latin America and the Caribbean,904
Saint Martin (French Part),663,MAF,Caribbean,915,Latin America and the Caribbean,904
Saint Vincent and the Grenadines,670,VCT,Caribbean,915,Latin America and the Caribbean,904
Sint Maarten (Dutch part),534,SXM,Caribbean,915,Latin America and the Caribbean,904
Trinidad and Tobago,780,TTO,Caribbean,915,Latin America and the Caribbean,904
Turks and Caicos Islands,796,TCA,Caribbean,915,Latin America and the Caribbean,904
